Andrews,  Tex.,	32-19N	102-33W
Androscoggin	43-58N	70-00W
Angels Camp	38-04N	120-32W
Angleton	29-10N	95-26W
Angola, Ind.,	41-38N	85-00W
Angola, N.Y.,	42-38N	79-02W
Animas	36-43N	108-13W
Ankeny	41-44N	93-36W
Ann, C.,	42-38N	70-35W
Ann Arbor	42-17N	83-45W
Anna	37-28N	89-15W
Annapolis	38-59N	76-30W
Anniston	33-39N	85-50W
Annville	40-20N	76-31W
Ansley	41-18N	99-23W
Anson	32-45N	99-54W
Ansonia	41-21N	73-05E
Antero, Mt.,	38-41N	106-15W
Anthony,  Kans.,	37-09N	98-02W
Anthony, N.  Mex.,	32-00N	106-36W
Antigo	45-09N	89-09W
Antioch	38-01N	121-48W
Antlers	34-14N	95-37W
Anton	33-49N	102-10W
Antrim	40-07N	81-21W
Antwerp	44-12N	75-37W
Anza	33-35N	116-39W
Apache	34-54N	98-22W
Apache  Junction	33-25N	111-33W
Apalachee B.,	30-00N	84-00W
Apalachicola	29-43N	84-59W
Apalachicola	29-43N	84-58W
Apostle Is.,	47-00N	90-40W
Appalachian  Mts.,	38-00N	80-00W
Apple Valley	34-32N	117-14W
Appleton	44-16N	88-25W
Arab	34-19N	86-30W
Aransas Pass	27-55N	97-09W
Arapahoe	40-18N	99-54W
Arbuckle	39-01N	122-03W
Arcade, Calif	34-02N	118-15W
Aracade,  N.Y.,	42-32N	78-25W
Arcadia,  Fla.,	27-13N	81-52W
Arcadia, La.,	32-33N	92-55W
Arcadia, Pa.,	40-47N	78-51W
Arcata	40-52N	124-05W
Archbald	41-30N	75-32W
Arches Nat.  Park	38-45N	109-25W
Arco	43-38N	113-18W
Arden,  Calif.,	38-46N	121-33W
Arden, Nev	36-01N	115-14W
Ardmore,  Okla.,	34-10N	97-08W
Ardmore, Pa.,	39-58N	75-18W
Arena, Pt.,	38-57N	123-44W
Arguelio,  Pt.,	34-35N	120-39W
Argus Pk.,	35-52N	117-26W
Arizona	34-00N	112-00W
Arkadelphia	34-07N	93-04W
Arkansas	35-00N	92-30W
Arkansas	33-47N	91-04W
Arkansas City	37-04N	97-02W
Arkport	42-24N	77-42W
Arkville	42-09N	74-37W
Arlington,  N.Y.,	41-42N	73-54W
Arlington,  Oreg.,	45-43N	120-12W
Arlington, S.  Dak.,	44-22N	97-08W
Arlington,  Tex.,	32-44N	97-07W
Arlington,  Va.,	38-53N	77-07W
Arlington,  Vt.,	43-05N	73-09W
Arlington,  Wash.,	48-12N	122-08W
Arlington  Heights	42-05N	87-59W
Armour,	43-19N	98-21W
Arnett	36-08N	99-46W
Arnold	38-15N	120-20W
Arrowhead,  L.,	34-16N	117-10W
Arroyo Grande	35-07N	120-35W
Artesia	32-51N	104-24W
Arvada,  Colo.,	39-48N	105-05W
Arvada, Wyo.,	44-39N	106-08W
Arvin	35-12N	118-50W
Asbury Park	40-13N	74-01W
Ash Fork	35-13N	112-29W
Ash Grove	37-19N	93-35W
Ashburn	31-43N	83-39W
Ashdown	33-40N	94-08W
Asheboro	35-43N	79-49W
Asherton	28-27N	99-46W
Asheville	35-36N	82-33W
Ashland,  Kans.,	37-11N	99-46W
Ashland, Ky.,	38-28N	82-38W
Ashland,  Mont.,	45-36N	106-16W
Ashland, Ohio	40-52N	82-19W
Ashland,  Oreg.,	42-12N	122-43W
Ashland, Pa.,	40-45N	76-22W
Ashland, Va.,	37-46N	77-29W
Ashland,  Wis.,	46-35N	90-53W
Ashley, N.  Dak.,	46-02N	99-22W
Ashley, Pa.,	41-12N	75-55W
Ashokan  Reservoir	41-56N	74-13W
Ashtabula	41-52N	80-47W
Ashton	44-04N	111-27W
Ashville	40-34N	78-33W
Aspen	39-11N	106-49W
Aspermont	33-08N	100-14W
Astoria	46-11N	123-50W
Atascadero	35-29N	120-40W
Atchafalaya  B.,	29-25N	91-25W
Atchison	39-34N	95-07W
Athens, Ala.,	34-48N	86-58W
Athens, Ga.,	33-57N	83-23W
Athens, N.Y.,	42-16N	73-49W
Athens, Ohio	39-20N	82-06W
Athens, Pa.,	41-57N	76-31W
Athens,  Tenn.,	47-57N	76-31W
Athens, Tex.,	32-12N	95-51W
Athol	42-36N	72-14W
Atka I.,	52-07N	174-30W
Atkinson	42-32N	98-59W
Atlanta, Ga.,	33-45N	84-23W
Atlanta,  Tex.,	33-07N	94-10W
Atlantic	41-24N	95-01W
Atlantic City	39-21N	74-27W
Atmore	31-02N	87-29W
Atoka	34-23N	96-08W
Atolia	34-19N	117-37W
Attalla	34-01N	86-06W
Attica, Ind.,	40-18N	87-15W
Attica, Ohio	41-04N	82-53W
Attleboro	41-57N	71-17W
Attu I.,	52-55N	172-55E
Atwater	37-21N	120-37W
Atwood	39-48N	101-03W
Au Sable	44-25N	83-20W
Au Sable	44-25N	83-20W
Au Sable  Forks	44-27N	73-41W
Au Sable Pt.,	44-20N	88-70W
Auberry	37-07N	119-29W
Auburn, Ala.,	32-36N	85-29W
Auburn,  Calif.,	38-54N	121-04W
Auburn, Ind.,	41-22N	85-04W
Auburn, Maine	44-06N	70-14W
Auburn, N.Y.,	42-56N	76-34W
Auburn,  Nebr.,	40-23N	95-51W
Auburn, Pa.,	40-36N	76-06W
Auburn,  Wash.,	47-18N	122-14W
Auburndale	28-04N	81-48W
Audubon	41-43N	94-56W
Augusta,  Ark.,	35-17N	91-22W
Augusta, Ga.,	33-28N	81-58W
Augusta,  Kans.,	37-41N	96-59W
Augusta,  Maine	44-19N	69-47W
Augusta,  Mont.,	47-30N	112-24W
Aukum	38-34N	120-43W
Ault	40-35N	104-44W
Aurora,  Colo.,	39-44N	104-52W
Aurora, III.,	41-45N	88-19W
Aurora, Mo.,	36-58N	93-43W
Aurora, N.  Y.,	42-45N	76-42W
Aurora,  Nebr.,	40-52N	98-00W
Aurora, Ohio	41-21N	81-20W
Austin.  Minn.,	43-40N	92-58W
Austin, Nev.,	39-30N	117-04W
Austin, Pa.,	41-38N	78-06W
Austin, Tex.,	30-17N	97-45W
Ava	36-57N	92-40W
Avalon	33-21N	118-20W
Avawatz Mts.,	35-40N	116-30W
Avenal	36-00N	120-08W
Avery	47-15N	115-49W
Avila Beach	35-11N	120-44W
Avis	41-11N	77-19W
Avoca	42-25N	77-25W
Avon	42-55N	77-45W
Avon Park	27-36N	81-31W
Ayer	42-34N	71-35W
Aztec	36-49N	107-59W
Azusa	34-08N	117-52W
Babb	48-51N	113-27W
Bad	44-21N	100-22W
Bad Axe	43-48N	83-00W
Bad Lands	43-40N	102-10W
Baden	40-38N	80-14W
Badger	36-38N	119-01W
Badlands Nat.  Park	43-38N	102-56W
Bagdad	34-35N	115-53W
Baggs	41-02N	107-39W
Bagley	47-32N	95-24W
Bainbridge,  Ga.,	30-55N	84-35W
Bainbridge,  N.Y.,	42-18N	75-29W
Baker,  Calif.,	35-16N	116-04W
Baker, Mont.,	46-22N	104-17W
Baker City	44-47N	117-50W
Baker I.,	55-20N	133-40W
Baker Mt.,	48-50N	121-49W
Bakersfield,  Calif.,	35-23N	119-01W
Bakersfield,  Vt.,	44-45N	72-48W
Balcones  Escarpment	29-30N	99-15W
Bald Knob	35-19N	91-34W
Balwin,  Mich.,	43-54N	85-51W
Baldwin, Pa.,	40-23N	79-59W
Baldwinsville	43-10N	76-20W
Baldy Mt.,	48-09N	109-39W
Baldy Peak	33-54N	109-34W
Ballinger	31-45N	99-57W
Ballston Spa	43-00N	73-51W
Balmorhea	30-59N	103-45W
Balston Spa	43-00N	73-52W
Baltimore,  Md.,	39-17N	76-37W
Baltimore,  Ohio	39-51N	82-36W
Bamberg	33-18N	81-02W
Bangor, Maine	44-48N	68-46W
Bangor, Pa.	40-52N	75-13W
Banning	33-56N	116-53W
Bar Harbor	44-23N	68-13W
Baraboo	43-28N	89-45W
Baraga	46-47N	88-30W
Baranof	57-05N	134-50W
Baranof I.	57-00N	135-00W
Barataria B.	29-20N	89-55W
Barberton	41-00N	81-39W
Barbourville	36-52N	83-53W
Bardstown	37-49N	85-28W
Barker	43-20N	78-33W
Barkley, L.	37-01N	88-14W
Barneville	33-03N	84-09W
Barneveld	43-16N	75-14W
Barnhart	31-08N	101-10W
Barnsville	46-43N	96-28W
Barnwell	33-15N	81-23W
Barques, Pt.  Aux	44-04N	82-58W
Barre, Mass.	42-25N	72-06W
Barre, Vt.	44-12N	72-30W
Barrington	41-44N	71-18W
Barron	45-24N	91-51W
BarroW	71-18N	156-47W
Barrow Pt.	71-10N	156-20W
Barstow	34-54N	117-01W
Bartlesville	36-45N	95-59W
Bartlett	36-29N	118-02W
Barton	44-45N	72-11W
BartoW	27-54N	81-50W
Basin	44-23N	108-02W
Bassett	42-35N	99-32W
Bastrop, La.	32-47N	91-55W
Bastrop, Tex.	30-07N	97-19W
Batavia	43-00N	78-11W
Batesburg-Leesville	33-54N	81-33W
Batesville,  Ark.	35-46N	91-39W
